,id,iterations,minibatch_size,dropout,f1score_train,f1score_dev,error_train,error_dev,bias,variance
0,0.0,10.0,2.0,0.2,99.95311767463666,99.86052998605301,0.04688232536334169,0.13947001394699043,0.04688232536334169,0.09258768858364874
1,1.0,10.0,2.0,0.4,99.90627928772258,100.0,0.09372071227741685,0.0,0.09372071227741685,-0.09372071227741685
2,2.0,10.0,2.0,0.6,99.812734082397,100.0,0.18726591760299982,0.0,0.18726591760299982,-0.18726591760299982
3,3.0,10.0,4.0,0.2,100.0,100.0,0.0,0.0,0.0,0.0
4,4.0,10.0,4.0,0.4,99.90627928772258,99.86052998605301,0.09372071227741685,0.13947001394699043,0.09372071227741685,0.04574930166957358
5,5.0,10.0,4.0,0.6,99.85948477751757,100.0,0.14051522248243487,0.0,0.14051522248243487,-0.14051522248243487
6,6.0,10.0,8.0,0.2,100.0,100.0,0.0,0.0,0.0,0.0
7,7.0,10.0,8.0,0.4,99.85948477751757,100.0,0.14051522248243487,0.0,0.14051522248243487,-0.14051522248243487
8,8.0,10.0,8.0,0.6,99.90627928772258,100.0,0.09372071227741685,0.0,0.09372071227741685,-0.09372071227741685
9,9.0,10.0,16.0,0.2,99.90627928772258,100.0,0.09372071227741685,0.0,0.09372071227741685,-0.09372071227741685
10,10.0,10.0,16.0,0.4,99.95311767463666,99.86052998605301,0.04688232536334169,0.13947001394699043,0.04688232536334169,0.09258768858364874
11,11.0,10.0,16.0,0.6,99.90627928772258,100.0,0.09372071227741685,0.0,0.09372071227741685,-0.09372071227741685
12,12.0,10.0,32.0,0.2,100.0,99.86052998605301,0.0,0.13947001394699043,0.0,0.13947001394699043
13,13.0,10.0,32.0,0.4,100.0,100.0,0.0,0.0,0.0,0.0
14,14.0,10.0,32.0,0.6,99.39393939393939,99.86091794158554,0.6060606060606091,0.1390820584144592,0.6060606060606091,-0.4669785476461499
